PEKING UNIVERSITY	北京大学
UNIVERSITY OF ABERDEEN	阿伯丁大学
UNIVERSITY OF DELAWARE	特拉华大学
MITSUBISHI ELECTRIC RESEARCH LABORATORIES	三菱电气研究实验室
HEFEI UNIVERSITY OF TECHNOLOGY	合肥工业大学
SCRIPPS RESEARCH INSTITUTE	斯克利普斯研究所
ACADEMIA SINICA	中央研究院
EDGE HILL UNIVERSITY	边山大学
UNIVERSITY OF VIRGINIA	弗吉尼亚大学
PRINCETON UNIVERSITY	普林斯顿大学
UNIVERSITY OF SOUTHERN MISSISSIPPI	南密西西比大学
ARIZONA STATE UNIVERSITY	亚利桑那州立大学
CARNEGIE MELLON UNIVERSITY	卡内基梅隆大学
UNIVERSITY OF UTAH	犹他大学
BEIHANG UNIVERSITY	北京航空航天大学
FOOD AND DRUG ADMINISTRATION	食品药品监督管理局
GUANGXI MEDICAL UNIVERSITY	广西医科大学
WUHAN UNIVERSITY	武汉大学
HUAZHONG UNIVERSITY OF SCIENCE AND TECHNOLOGY	华中科技大学
CENTERS FOR DISEASE CONTROL AND PREVENTION	疾病控制和预防中心
GUANGZHOU MEDICAL UNIVERSITY	广州医科大学
UNIVERSITY OF BIRMINGHAM	伯明翰大学
CHILDREN'S HOSPITAL OF PHILADELPHIA	费城儿童医院
OHIO UNIVERSITY	俄亥俄州大学
UNIVERSITY OF ARKANSAS FOR MEDICAL SCIENCES	阿肯色大学医学研究所
NANJING UNIVERSITY OF INFORMATION SCIENCE AND TECHNOLOGY	南京信息科技大学
UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL	北卡罗来纳大学教堂山分校
UNIVERSITY OF MINNESOTA	明尼苏达大学
SHANGHAI UNIVERSITY	上海大学
NORTHWEST A&F UNIVERSITY	西北大学
MACQUARIE UNIVERSITY	麦考瑞大学
BELL LABS	贝尔实验室
UNIVERSITY OF OTAGO	奥塔哥大学
UNIVERSITY OF ELECTRONIC SCIENCE AND TECHNOLOGY OF CHINA	中国电子科技大学
CHONGQING MEDICAL UNIVERSITY	重庆医科大学
WILLAMETTE UNIVERSITY	威拉米特大学
HEBREW UNIVERSITY OF JERUSALEM	耶路撒冷希伯来大学
NANJING UNIVERSITY OF AERONAUTICS AND ASTRONAUTICS	南京航空航天大学
NANJING UNIVERSITY OF SCIENCE AND TECHNOLOGY	南京理工大学
CHINESE MINISTRY OF PUBLIC SECURITY	中国公安部
NORTH CHINA ELECTRIC POWER UNIVERSITY	华北电力大学
UNIVERSITY OF LIVERPOOL	利物浦大学
LUXTERA	LUXTERA
HARBIN VETERINARY RESEARCH INSTITUTE	中国农业科学院哈尔滨兽医研究所
CHINESE ACADEMY OF TROPICAL AGRICULTURAL SCIENCES	中国热带农业科学院
CITY UNIVERSITY OF NEW YORK	纽约城市大学
PORTLAND STATE UNIVERSITY	波特兰州立大学
UPPSALA UNIVERSITY	乌普萨拉大学
FRED HUTCHINSON CANCER RESEARCH CENTER	弗雷德·哈钦森癌症研究中心
THE CHINESE UNIVERSITY OF HONG KONG	香港中文大学
UNIVERSITY OF WASHINGTON	华盛顿大学
COLUMBIA UNIVERSITY	哥伦比亚大学
NORTHSHORE UNIVERSITY HEALTHSYSTEM	北岸大学健康系统
BIRKBECK, UNIVERSITY OF LONDON	伯克贝克, 伦敦大学
ACADEMY OF MEDICAL SCIENCES, UNITED KINGDOM	英国医学科学院
CARRIER CORPORATION	开利公司
AMGEN	安进
UNIVERSITY OF NOTRE DAME	圣母大学
UNIVERSITY OF NORTH CAROLINA AT CHARLOTTE	北卡罗来纳大学夏洛特分校
CENTER FOR ENVIRONMENTAL HEALTH	环境健康中心
UNIVERSITY OF SHEFFIELD	谢菲尔德大学
WUHAN UNIVERSITY OF TECHNOLOGY	武汉理工大学
OREGON HEALTH & SCIENCE UNIVERSITY	俄勒冈健康与科学大学
SHANGHAITECH UNIVERSITY	上海科技大学
NANJING UNIVERSITY OF POSTS AND TELECOMMUNICATIONS	南京邮电大学
UNIVERSITY OF DUNDEE	邓迪大学
CASE WESTERN RESERVE UNIVERSITY	凯斯西储大学
GENERAL MOTORS	通用汽车公司
WASHINGTON UNIVERSITY IN ST. LOUIS	圣路易斯华盛顿大学
MERCK & CO.	默克公司
ZHENGZHOU UNIVERSITY	郑州大学
POLAR RESEARCH INSTITUTE OF CHINA	中国极地研究院
CARLETON UNIVERSITY	卡尔顿大学
YANSHAN UNIVERSITY	燕山大学
PEKING UNION MEDICAL COLLEGE HOSPITAL	北京协和医科大学医院
SOUTHERN MEDICAL UNIVERSITY	南方医科大学
AGENCY FOR SCIENCE, TECHNOLOGY AND RESEARCH	科学、技术和研究机构
HUMAN GENOME SCIENCES	人类基因组科学
ROCKWELL COLLINS	罗克韦尔柯林斯
WELLCOME TRUST SANGER INSTITUTE	康威信托研究所
LAVAL UNIVERSITY	拉伐尔大学
QUALCOMM	高通
CITY OF HOPE NATIONAL MEDICAL CENTER	希望之城国家医疗中心
PLEXXIKON	PLEXXIKON
STONY BROOK UNIVERSITY	石溪大学
BENAROYA RESEARCH INSTITUTE	贝纳罗亚研究所
SCHERING-PLOUGH	先灵葆雅公司
UNIVERSITY OF HOUSTON	休斯顿大学
CHALMERS UNIVERSITY OF TECHNOLOGY	查尔姆斯理工大学
ZHONGNAN UNIVERSITY OF ECONOMICS AND LAW	中南财经政法大学
SOUTHWEST UNIVERSITY	西南大学
UNITED STATES DEPARTMENT OF ENERGY	美国能源部
UNIVERSITY OF EAST ANGLIA	东英吉利大学
APPLE INC.	苹果公司
ICF INTERNATIONAL	ICF 国际
UNIVERSITY OF SOUTH FLORIDA	南佛罗里达大学
FLORIDA ATLANTIC UNIVERSITY	佛罗里达大西洋大学
RMIT UNIVERSITY	皇家墨尔本理工大学
UNIVERSITY OF HONG KONG	香港大学
GUILIN UNIVERSITY OF TECHNOLOGY	桂林理工大学
FUZHOU UNIVERSITY	福州大学
STRUCTURAL GENOMICS CONSORTIUM	结构基因组联盟
SOUTH CHINA NORMAL UNIVERSITY	华南师范大学
UNIVERSITY OF S?O PAULO	圣保罗大学
UNIVERSITY OF NEVADA, LAS VEGAS	内华达州大学拉斯维加斯分校
FLORIDA STATE UNIVERSITY	佛罗里达州立大学
UNIVERSITY OF CALGARY	卡尔加里大学
NOKIA	诺基亚
NANJING MEDICAL UNIVERSITY	南京医科大学
LIFE SCIENCES INSTITUTE	生命科学研究所
NATIONAL CHUNG CHENG UNIVERSITY	国立中正大学
SHANTOU UNIVERSITY	汕头大学
DALIAN MARITIME UNIVERSITY	大连海事大学
HENAN UNIVERSITY OF SCIENCE AND TECHNOLOGY	河南科技大学
MIDDLE TENNESSEE STATE UNIVERSITY	中田纳西州立大学
UNIVERSITY OF WOLLONGONG	卧龙岗大学
SILICON LABS	硅实验室
HASSO PLATTNER INSTITUTE	HASSO 普拉特纳研究所
UNIVERSITY OF BRITISH COLUMBIA	不列颠哥伦比亚大学
XIANGTAN UNIVERSITY	湘潭大学
UNIVERSITY OF TEXAS AT EL PASO	德克萨斯大学埃尔帕索分校
XEROX	施乐
UNIVERSITY OF TECHNOLOGY, SYDNEY	悉尼理工大学
UNIVERSITY OF NEBRASKA–LINCOLN	内布拉斯加大学林肯分校
FOX CHASE CANCER CENTER	福克斯蔡斯癌症中心
GUANGDONG UNIVERSITY OF TECHNOLOGY	广东工业大学
FUDAN UNIVERSITY SHANGHAI MEDICAL COLLEGE	复旦大学上海医科大学
GENOME INSTITUTE OF SINGAPORE	新加坡基因组研究所
BEIJING UNIVERSITY OF CHEMICAL TECHNOLOGY	北京化工大学
IOWA STATE UNIVERSITY	爱荷华州立大学
RENMIN UNIVERSITY OF CHINA	中国人民大学
UNIVERSITY OF TEXAS–PAN AMERICAN	德克萨斯大学潘美分校
EAST CHINA UNIVERSITY OF SCIENCE AND TECHNOLOGY	华东理工大学
CHINA METEOROLOGICAL ADMINISTRATION	中国气象总局
J. CRAIG VENTER INSTITUTE	克雷格·文特尔研究所
SCIENCE APPLICATIONS INTERNATIONAL CORPORATION	科学应用国际公司
HUNAN UNIVERSITY	湖南大学
RUTGERS UNIVERSITY	罗格斯大学
CHINA UNIVERSITY OF PETROLEUM	中国石油大学
BEIJING FORESTRY UNIVERSITY	北京林业大学
SICHUAN UNIVERSITY OF SCIENCE AND ENGINEERING	四川理工大学
MIDDLESEX UNIVERSITY	米德尔塞克斯大学
UNIVERSITY OF CALIFORNIA, SANTA BARBARA	加州大学圣巴巴拉分校
INTERNATIONAL RICE RESEARCH INSTITUTE	国际稻米研究所
SHANDONG UNIVERSITY	山东大学
NANCHANG HANGKONG UNIVERSITY	南昌航空大学
HONG KONG UNIVERSITY OF SCIENCE AND TECHNOLOGY	香港科技大学
NANKAI UNIVERSITY	南开大学
UNIVERSITY OF G?TTINGEN	G 大学？TTINGEN
HARBIN INSTITUTE OF TECHNOLOGY	哈尔滨工业学院
INTERNATIONAL BUSINESS SCHOOL	国际商学院
COLLEGE OF MANAGEMENT AND ECONOMICS	管理与经济学院
BLOOMBERG L.P.	彭博
UNIVERSITY OF ARIZONA	亚利桑那大学
STANFORD UNIVERSITY	斯坦福大学
UNIVERSITY OF MELBOURNE	墨尔本大学
KANSAS STATE UNIVERSITY	堪萨斯州立大学
UNIVERSITY OF TORONTO	多伦多大学
RESEARCH TRIANGLE PARK	三角研究园
CHUNG HUA UNIVERSITY	中华大学
NANJING UNIVERSITY OF TECHNOLOGY	南京工业大学
UNIVERSITY OF TEXAS AT AUSTIN	德克萨斯大学奥斯汀分校
THERMO FISHER SCIENTIFIC	赛默飞世尔科技
UNIVERSITY OF SCIENCE AND TECHNOLOGY OF CHINA	中国科学技术大学
UNIVERSITY OF CAMBRIDGE	剑桥大学
CANCER INSTITUTE	癌症研究所
OCEAN UNIVERSITY OF CHINA	中国海洋大学
CHINA UNIVERSITY OF MINING AND TECHNOLOGY	中国矿业大学
DUKE UNIVERSITY	杜克大学
THOMAS JEFFERSON UNIVERSITY	托马斯·杰斐逊大学
CHINA-JAPAN FRIENDSHIP HOSPITAL	中日友好医院
NORTHWESTERN UNIVERSITY	西北大学
NATIONAL TAIWAN UNIVERSITY	国立台湾大学
NANJING UNIVERSITY OF FINANCE AND ECONOMICS	南京财经大学
SHANGHAI UNIVERSITY OF FINANCE AND ECONOMICS	上海财经大学
NANJING UNIVERSITY	南京大学
JOHNSON & JOHNSON	约翰逊和约翰逊
MOTOROLA	摩托罗拉
HEWLETT-PACKARD	惠普
TEXAS CENTER FOR SUPERCONDUCTIVITY	德州超导中心
UNIVERSITY OF ARKANSAS	阿肯色州大学
UNIVERSITY OF TEXAS MD ANDERSON CANCER CENTER	德克萨斯大学安德森癌症中心
UNIVERSITY OF CALIFORNIA, SAN FRANCISCO	加州大学旧金山分校
UNIVERSITY OF ILLINOIS AT CHICAGO	伊利诺伊大学芝加哥分校
NAGOYA UNIVERSITY	名古屋大学
HOHAI UNIVERSITY	河海大学
UNIVERSITY OF TEXAS AT ARLINGTON	德克萨斯大学阿林顿分校
TULANE UNIVERSITY	杜兰大学
UNIVERSITY OF MALAYA	马来亚大学
JIANGNAN UNIVERSITY	江南大学
NATIONAL CENTER FOR ELECTRON MICROSCOPY	国家电子显微镜中心
UNIVERSITY OF CALIFORNIA, SANTA CRUZ	加州大学圣克鲁斯分校
UNIVERSITY OF TEXAS SOUTHWESTERN MEDICAL CENTER	德克萨斯大学西南医学中心
LAWRENCE BERKELEY NATIONAL LABORATORY	劳伦斯伯克利国家实验室
ETH ZURICH	苏黎世理工学院
UNIVERSITY OF SOUTHERN CALIFORNIA	南加州大学
LABORATORY OF MOLECULAR BIOLOGY	分子生物学实验室
UNIVERSITY OF TSUKUBA	筑波大学
JAPAN ATOMIC ENERGY RESEARCH INSTITUTE	日本原子能研究院
CHINESE CENTER FOR DISEASE CONTROL AND PREVENTION	中国疾病预防控制中心
BEIJING UNIVERSITY OF TECHNOLOGY	北京工业大学
ORANGE S.A.	ORANGE S.A.
UNIVERSITY OF MIAMI	迈阿密大学
HELSINKI UNIVERSITY CENTRAL HOSPITAL	赫尔辛基大学中央医院
GEORGIA STATE UNIVERSITY	佐治亚州立大学
HUAZHONG AGRICULTURAL UNIVERSITY	华中农业大学
UNIVERSITY OF WISCONSIN–MILWAUKEE	威斯康星大学密尔沃基分校
CHONGQING UNIVERSITY	重庆大学
UNIVERSITY OF SCIENCE AND TECHNOLOGY, SANA'A	萨那科技大学
QUFU NORMAL UNIVERSITY	曲阜师范大学
MCGILL UNIVERSITY	麦吉尔大学
NATIONAL RESEARCH COUNCIL	国家研究委员会
UNIVERSITY OF NORTH TEXAS	北德克萨斯大学
UNIVERSITY OF CHICAGO	芝加哥大学
UNIVERSITY OF NEW SOUTH WALES	新南威尔士大学
UNIVERSITY OF AIZU	会津大学
NEW YORK UNIVERSITY	纽约大学
WENZHOU MEDICAL COLLEGE	温州医科大学
UNIVERSITY OF PITTSBURGH	匹兹堡大学
KOHLER COMPANY	科勒公司
STATE UNIVERSITY OF NEW YORK SYSTEM	纽约州立大学系统
BEIJING INSTITUTE OF TECHNOLOGY	北京理工大学
HARBIN ENGINEERING UNIVERSITY	哈尔滨工业大学
GEORGIA INSTITUTE OF TECHNOLOGY	佐治亚理工学院
HUAWEI	华为
TIANJIN NORMAL UNIVERSITY	天津师范大学
NATIONAL CENTER FOR IMMUNIZATION AND RESPIRATORY DISEASES	国家免疫和呼吸系统疾病中心
UNIVERSITY OF CALIFORNIA, RIVERSIDE	加利福尼亚大学河滨分校
CORNELL UNIVERSITY	康奈尔大学
SECOND MILITARY MEDICAL UNIVERSITY	第二军医大学
LIVERPOOL JOHN MOORES UNIVERSITY	利物浦约翰摩尔大学
FOURTH MILITARY MEDICAL UNIVERSITY	第四军医大学
UNIVERSITY OF CALIFORNIA, LOS ANGELES	加州大学洛杉矶分校
SHANXI UNIVERSITY	山西大学
ILLINOIS INSTITUTE OF TECHNOLOGY	伊利诺伊理工大学
BROOKHAVEN NATIONAL LABORATORY	布鲁克黑文国家实验室
HARBIN MEDICAL UNIVERSITY	哈尔滨医科大学
CENTER FOR ADVANCED MATERIALS	先进材料中心
LAWRENCE LIVERMORE NATIONAL LABORATORY	劳伦斯国家实验室
XIAMEN UNIVERSITY	厦门大学
NANCHANG UNIVERSITY	南昌大学
PFIZER	辉瑞
NORTH SHORE UNIVERSITY HOSPITAL	北岸大学医院
SICHUAN AGRICULTURAL UNIVERSITY	四川农业大学
MINISTRY OF EDUCATION	教育部
CHARLES STURT UNIVERSITY	查尔斯斯特大学
GEORGE MASON UNIVERSITY	乔治梅森大学
GUIZHOU UNIVERSITY	贵州大学
GOOGLE	谷歌
YUNNAN UNIVERSITY	云南大学
NORTHWEST NORMAL UNIVERSITY	西北师范大学
FRAUNHOFER SOCIETY	弗劳恩霍夫协会
NATIONAL INSTITUTE OF INFORMATICS	国立信息学研究所
UNIVERSITY OF NEW BRUNSWICK	新不伦瑞克大学
CHINESE MINISTRY OF EDUCATION	中国教育部
CARDIFF UNIVERSITY	加的夫大学
CALIFORNIA INSTITUTE OF TECHNOLOGY	加利福尼亚理工学院
STOCKHOLM UNIVERSITY	斯德哥尔摩大学
FERMILAB	FERMILAB
TEXAS MEDICAL CENTER	德州医疗中心
VANDERBILT UNIVERSITY	范德比尔特大学
UNIVERSITY OF MARYLAND, COLLEGE PARK	马里兰大学公园
AMES RESEARCH CENTER	艾姆斯研究中心
UNIVERSITY OF KANSAS	堪萨斯大学
UNIVERSITY OF ALBERTA	阿尔伯塔大学
SHENYANG UNIVERSITY OF TECHNOLOGY	沈阳工业大学
UNIVERSITY OF EDINBURGH	爱丁堡大学
UNIVERSITY OF ONTARIO INSTITUTE OF TECHNOLOGY	安大略省大学理工学院
PURDUE UNIVERSITY	普渡大学
UNIVERSITY OF AKRON	阿克伦大学
PACIFIC NORTHWEST NATIONAL LABORATORY	太平洋西北国家实验室
UNIVERSITY AT BUFFALO	布法罗大学
SAINT LOUIS UNIVERSITY	圣路易斯大学
CELERA CORPORATION	塞雷拉基因组公司
BAYLOR COLLEGE OF MEDICINE	贝勒医学院
MAYO CLINIC	梅奥诊所
UNIVERSITY OF CINCINNATI	辛辛那提大学
UNIVERSITY OF SCIENCE AND TECHNOLOGY BEIJING	北京科技大学
UNIVERSITY OF VIRGINIA HEALTH SYSTEM	弗吉尼亚大学卫生系统
NINGBO UNIVERSITY	宁波大学
UNIVERSITY OF IOWA	爱荷华州大学
COMMONWEALTH SCIENTIFIC AND INDUSTRIAL RESEARCH ORGANISATION	英联邦科学和工业研究组织
COOPERATIVE RESEARCH CENTRE	合作研究中心
DURHAM UNIVERSITY	达勒姆大学
LOUGHBOROUGH UNIVERSITY	拉夫堡大学
ATOMIC ENERGY COUNCIL	原子能理事会
ZHEJIANG SCI-TECH UNIVERSITY	浙江理工大学
MICHIGAN STATE UNIVERSITY	密歇根州立大学
BROWN UNIVERSITY	布朗大学
ACADEMY OF MILITARY MEDICAL SCIENCES	军事医学科学院
MERCK KGAA	默克股份
UNIVERSITY OF PENNSYLVANIA	宾夕法尼亚大学
MCGOVERN INSTITUTE FOR BRAIN RESEARCH	麦戈文大脑研究研究所
TOTTORI UNIVERSITY	鸟取大学
TOYOTA	丰田
UNIVERSITY OF CONNECTICUT	康涅狄格大学
FRENCH INSTITUTE OF HEALTH AND MEDICAL RESEARCH	法国卫生与医学研究所
ULSTER UNIVERSITY	阿尔斯特大学
NOVARTIS	诺华
NEWCASTLE UNIVERSITY	纽卡斯尔大学
CENTER FOR NANOSCIENCE	纳米中心
UNIVERSITY OF INNSBRUCK	因斯布鲁克大学
UNIVERSITY OF NEBRASKA MEDICAL CENTER	内布拉斯加州大学医学中心
NIELS BOHR INSTITUTE	玻尔研究所
ILLUMINA	ILLUMINA
APPLIED BIOSYSTEMS	应用生物病理
NORTEL	NORTEL
XISHUANGBANNA TROPICAL BOTANICAL GARDEN	西双版纳热带植物园
HIROSHIMA UNIVERSITY	广岛大学
ONYX PHARMACEUTICALS	玛瑙制药
UNIVERSITY OF MISSISSIPPI	密西西比大学
ANHUI MEDICAL UNIVERSITY	安徽医科大学
UNIVERSITY OF MARYLAND BIOTECHNOLOGY INSTITUTE	马里兰大学生物技术研究所
BRISTOL-MYERS SQUIBB	布里斯托尔-迈尔斯宝
SYNGENTA	先正达
UNIVERSITY OF NEW MEXICO	新墨西哥大学
CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE	中心国家 DE 研究所科学研究
UNIVERSITY OF GUELPH	圭尔夫大学
ALBANY MEDICAL COLLEGE	奥尔巴尼医科大学
UNIVERSITY OF CENTRAL ARKANSAS	阿肯色州中部大学
LEONARD DAVIS INSTITUTE OF HEALTH ECONOMICS	伦纳德戴维斯健康经济研究所
LOUISIANA STATE UNIVERSITY	路易斯安那州立大学
UNIVERSITY OF KENTUCKY	肯塔基大学
NORTHEAST NORMAL UNIVERSITY	东北师范大学
YANGZHOU UNIVERSITY	扬州大学
MICHIGAN TECHNOLOGICAL UNIVERSITY	密歇根理工大学
TOHOKU UNIVERSITY	东北大学
MISSOURI UNIVERSITY OF SCIENCE AND TECHNOLOGY	密苏里州科技大学
SOUTH DAKOTA SCHOOL OF MINES AND TECHNOLOGY	南达科他州矿业和技术学院
HOWARD HUGHES MEDICAL INSTITUTE	霍华德休斯医学研究所
WASHINGTON STATE UNIVERSITY SPOKANE	华盛顿州立大学斯波坎
SRI INTERNATIONAL	斯里兰卡国际
UNIVERSITY OF SURREY	萨里大学
SOOCHOW UNIVERSITY	苏州大学
AKITA UNIVERSITY	秋田大学
FRENCH INSTITUTE FOR RESEARCH IN COMPUTER SCIENCE AND AUTOMATION	法国计算机科学与自动化研究所
UNIVERSITY OF SOUTH CAROLINA	南卡罗来纳大学
DELFT UNIVERSITY OF TECHNOLOGY	代尔夫特理工大学
NORTHEASTERN UNIVERSITY	东北大学
HAMMERSMITH HOSPITAL	哈默史密斯医院
ZHEJIANG UNIVERSITY OF TECHNOLOGY	浙江工业大学
LOS ALAMOS NATIONAL LABORATORY	洛斯阿拉莫斯国家实验室
QINGDAO UNIVERSITY	青岛大学
UNIVERSITY OF MEDICINE AND DENTISTRY OF NEW JERSEY	新泽西州医学与牙科大学
UNIVERSITY OF MASSACHUSETTS MEDICAL SCHOOL	麻省大学医学院
NEW YORK MEDICAL COLLEGE	纽约医科大学
UNIVERSITY OF MASSACHUSETTS LOWELL	马萨诸塞州大学洛厄尔分校
DONGHUA UNIVERSITY	东华大学
THE ROSLIN INSTITUTE	罗林学院
PENN STATE COLLEGE OF INFORMATION SCIENCES AND TECHNOLOGY	宾夕法尼亚州立信息科学与技术学院
UNIVERSITY OF OKLAHOMA	俄克拉何马州大学
WORLD BANK	世界银行
SOUTH CENTRAL UNIVERSITY FOR NATIONALITIES	中南民族大学
OKAYAMA UNIVERSITY	冈山大学
CONNECTICUT AGRICULTURAL EXPERIMENT STATION	康涅狄格州农业试验站
UNIVERSITY OF WARWICK	华威大学
ELI LILLY AND COMPANY	礼来公司
XI'AN UNIVERSITY OF ARCHITECTURE AND TECHNOLOGY	西安建筑科技大学
JANSSEN PHARMACEUTICA	杨森药学
NANJING AGRICULTURAL UNIVERSITY	南京农业大学
CHINA PHARMACEUTICAL UNIVERSITY	中国药科大学
INDIANA UNIVERSITY – PURDUE UNIVERSITY INDIANAPOLIS	印第安纳大学-普渡大学印第安纳波利斯联合分校
MCMASTER UNIVERSITY	麦克马斯特大学
GUNMA UNIVERSITY	群马大学
UNIVERSITY OF ROCHESTER	罗切斯特大学
SYRACUSE UNIVERSITY	雪城大学
THOMAS JEFFERSON NATIONAL ACCELERATOR FACILITY	托马斯·杰斐逊国家加速器设施
SHENYANG AEROSPACE UNIVERSITY	沈阳航空航天大学
MILLENNIUM PHARMACEUTICALS	千禧医药
CHINA WEST NORMAL UNIVERSITY	中国西部师范大学
KANSAI UNIVERSITY	关西大学
LI KA SHING FACULTY OF MEDICINE, UNIVERSITY OF HONG KONG	香港大学李嘉盛医学院
UNIVERSITY OF SYDNEY	悉尼大学
UNIVERSITY OF WESTERN AUSTRALIA	西澳大利亚大学
HRL LABORATORIES	HRL实验室
UNIVERSITY OF LAUSANNE	洛桑大学
KYOTO UNIVERSITY	京都大学
KARLSRUHE INSTITUTE OF TECHNOLOGY	卡尔斯鲁厄技术学院
UNIVERSITY OF NOTTINGHAM	诺丁汉大学
UNIVERSITY OF PORTSMOUTH	朴茨茅斯大学
CENTER FOR BIOLOGICS EVALUATION AND RESEARCH	生物制剂评估与研究中心
NATIONAL HEALTH AND FAMILY PLANNING COMMISSION	国家卫生与计划生育委员会
SOUTHWESTERN UNIVERSITY OF FINANCE AND ECONOMICS	西南财经大学
UNIVERSITY OF NEBRASKA OMAHA	内布拉斯加大学奥马哈分校
TECHNION – ISRAEL INSTITUTE OF TECHNOLOGY	以色列理工学院
SIMON FRASER UNIVERSITY	西蒙弗雷泽大学
SHENYANG INSTITUTE OF AUTOMATION	沈阳自动化研究所
QUEEN'S UNIVERSITY BELFAST	贝尔法斯特皇后大学
CENTER FOR CELL AND GENE THERAPY	细胞与基因治疗中心
CHINESE NATIONAL HUMAN GENOME CENTER	中国国家人类基因组中心
WENZHOU UNIVERSITY	温州大学
